osmid,y,x,street_count,highway,ref,geometry
1898411639,4598095.919653313,550412.5301935564,3,,,POINT (550412.5301935564 4598095.919653313)
213768539,4596750.843743451,550852.4820290647,3,,,POINT (550852.4820290647 4596750.843743451)
213757502,4598384.515274791,549278.3132624436,3,,,POINT (549278.3132624436 4598384.515274791)
1251308143,4598368.696514381,549293.2788155276,3,,,POINT (549293.2788155276 4598368.696514381)
1597575907,4598339.104096625,549261.8308827536,3,,,POINT (549261.8308827536 4598339.104096625)
1597575904,4598448.796418455,549219.4125161514,3,,,POINT (549219.4125161514 4598448.796418455)
213757504,4598351.017970239,549326.8852656962,4,,,POINT (549326.8852656962 4598351.017970239)
245549577,4598311.131445994,549340.5975746625,3,,,POINT (549340.5975746625 4598311.131445994)
213757514,4598413.0726325605,549539.2931046413,3,,,POINT (549539.2931046413 4598413.0726325605)
1563775935,4598359.682895209,549304.8860349439,3,,,POINT (549304.8860349439 4598359.682895209)
1563768510,4598394.59556017,549592.2258811791,3,,,POINT (549592.2258811791 4598394.59556017)
213757518,4598335.13710787,549651.2974440889,3,,,POINT (549651.2974440889 4598335.13710787)
12294721906,4598151.676497891,549797.5359661982,3,,,POINT (549797.5359661982 4598151.676497891)
1563768505,4598385.485150396,549621.9616176955,3,,,POINT (549621.9616176955 4598385.485150396)
213757526,4598062.65813328,549873.32553855,3,,,POINT (549873.32553855 4598062.65813328)
1605241820,4598068.100247393,549891.2410132379,3,,,POINT (549891.2410132379 4598068.100247393)
213757528,4597953.48696811,549935.9500647138,3,,,POINT (549935.9500647138 4597953.48696811)
1605241956,4598093.284608377,549851.6567252689,3,,,POINT (549851.6567252689 4598093.284608377)
2146006559,4597911.32134623,549838.3737895826,3,,,POINT (549838.3737895826 4597911.32134623)
213757536,4597944.888776704,550061.7170839211,3,,,POINT (550061.7170839211 4597944.888776704)
1898435368,4597791.424772536,550129.8343690853,3,,,POINT (550129.8343690853 4597791.424772536)
3103686146,4597950.592003521,550081.9918840636,3,,,POINT (550081.9918840636 4597950.592003521)
213758538,4598443.225811341,549192.1886409556,3,,,POINT (549192.1886409556 4598443.225811341)
213758544,4598402.745655847,549153.1067732403,3,,,POINT (549153.1067732403 4598402.745655847)
2744870091,4598546.59264611,548879.1436393468,1,,,POINT (548879.1436393468 4598546.59264611)
878781378,4596400.455922035,550552.2149559637,3,,,POINT (550552.2149559637 4596400.455922035)
1235091604,4600814.772419117,550929.8743159034,3,,,POINT (550929.8743159034 4600814.772419117)
12258541717,4600832.881946677,550832.5927336467,3,,,POINT (550832.5927336467 4600832.881946677)
213786304,4600655.9845779445,550999.2481699327,3,,,POINT (550999.2481699327 4600655.9845779445)
8777940233,4600658.632134521,550998.4038064233,3,,,POINT (550998.4038064233 4600658.632134521)
213790954,4600522.662217231,551275.8117242722,3,,,POINT (551275.8117242722 4600522.662217231)
8773256267,4600622.950734581,551100.5831126855,3,,,POINT (551100.5831126855 4600622.950734581)
213798026,4600188.945247192,551632.7091192576,3,,,POINT (551632.7091192576 4600188.945247192)
242199894,4600231.390489536,551586.1841947793,4,,,POINT (551586.1841947793 4600231.390489536)
213798053,4600475.482822187,551771.9063476856,3,,,POINT (551771.9063476856 4600475.482822187)
1759729197,4599715.7775974395,551617.9928914835,3,,,POINT (551617.9928914835 4599715.7775974395)
215735664,4601125.431738025,549418.5851851718,3,crossing,,POINT (549418.5851851718 4601125.431738025)
1571099507,4601340.45502537,549386.0228012232,3,,,POINT (549386.0228012232 4601340.45502537)
215738872,4601371.33636598,549198.5990184773,3,,,POINT (549198.5990184773 4601371.33636598)
215751302,4601291.309235785,548707.0912612467,3,motorway_junction,,POINT (548707.0912612467 4601291.309235785)
1692179017,4601115.118327403,548363.9168852894,3,,,POINT (548363.9168852894 4601115.118327403)
226258682,4601275.985872269,548573.6909394313,3,,,POINT (548573.6909394313 4601275.985872269)
1243859875,4600236.734710993,547536.3604593584,3,,,POINT (547536.3604593584 4600236.734710993)
4616869404,4600305.818476297,547467.876157605,3,,,POINT (547467.876157605 4600305.818476297)
216283011,4600385.442112061,548064.9811622166,4,,,POINT (548064.9811622166 4600385.442112061)
343677045,4600377.926306853,548199.6609143651,3,,,POINT (548199.6609143651 4600377.926306853)
1806495889,4600492.856622622,548014.5932765846,3,,,POINT (548014.5932765846 4600492.856622622)
216283020,4600496.833611277,548019.9291750499,3,,,POINT (548019.9291750499 4600496.833611277)
1353874672,4600577.147772504,548117.7924443685,3,,,POINT (548117.7924443685 4600577.147772504)
1763916884,4600516.3239629185,548004.0706569318,3,,,POINT (548004.0706569318 4600516.3239629185)
218616926,4600794.752281545,547950.3860684667,3,,,POINT (547950.3860684667 4600794.752281545)
226224088,4601221.733011933,548516.8774212688,3,motorway_junction,,POINT (548516.8774212688 4601221.733011933)
218617926,4600487.402878714,548007.5742596422,3,,,POINT (548007.5742596422 4600487.402878714)
11711273467,4600401.314734273,547897.695975669,4,,,POINT (547897.695975669 4600401.314734273)
218621330,4600539.702222524,547971.8406622933,3,,,POINT (547971.8406622933 4600539.702222524)
1640698221,4600522.151948048,547977.278242566,3,,,POINT (547977.278242566 4600522.151948048)
218621331,4600544.44008175,547981.3996657351,3,,,POINT (547981.3996657351 4600544.44008175)
1480230939,4600592.111241164,547967.5636713933,3,,,POINT (547967.5636713933 4600592.111241164)
218621339,4600521.50587587,547980.2931570888,3,,,POINT (547980.2931570888 4600521.50587587)
218621512,4600530.679991811,547992.4662856718,3,,,POINT (547992.4662856718 4600530.679991811)
218631489,4598839.014365977,549067.3492444584,3,,,POINT (549067.3492444584 4598839.014365977)
2470167296,4598856.314763155,549069.3585593025,3,,,POINT (549069.3585593025 4598856.314763155)
242967015,4598720.827136752,549099.9109947642,3,,,POINT (549099.9109947642 4598720.827136752)
